rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
124,00-0031503,QB,167.3964544211723,17,Jameis Winston,NYG
125,00-0033288,TE,166.88998831138807,14,George Kittle,SF
126,00-0038544,WR,165.3962644683582,18,Quentin Johnston,LAC
127,00-0038416,QB,164.8631008274093,17,Tyson Bagent,CHI
128,00-0035264,QB,164.13711662383116,18,Jarrett Stidham,DEN
129,00-0039065,TE,163.98653576743226,18,Sam LaPorta,DET
130,00-0037816,WR,163.834496250632,17,Romeo Doubs,NE
131,00-0033119,QB,163.07028510501127,17,Jacoby Brissett,ARI
132,00-0035719,WR,162.68113635436467,14,Deebo Samuel,WAS
133,00-0039384,RB,162.431870231089,17,Tyrone Tracy,NYG
134,00-0037267,RB,161.91243124242806,17,Jerome Ford,WAS
135,00-0039376,QB,160.43933301944347,17,Spencer Rattler,NO
136,00-0033090,TE,160.08501078466915,17,Hunter Henry,NE
137,00-0033923,RB,160.01457686987894,15,Kareem Hunt,KC
138,00-0033858,TE,158.3690065942739,17,Jonnu Smith,
139,00-0035710,QB,158.1247291142289,11,Daniel Jones,IND
140,00-0038559,WR,157.55741588891235,17,Michael Wilson,ARI
141,00-0039919,WR,157.30203816716468,17,Rome Odunze,CHI
142,00-0035250,RB,156.24978728909346,17,Devin Singletary,NYG
143,00-0032211,WR,155.42843831661503,17,Tyler Lockett,LV
144,00-0035535,WR,154.24399915615945,17,Darius Slayton,NYG
145,00-0036972,QB,153.81020616938,17,Mac Jones,SF
146,00-0036158,RB,152.98906109593173,12,J.K. Dobbins,DEN
147,00-0034383,TE,152.7901875779925,19,Dalton Schultz,HOU
148,00-0039915,WR,152.75102165343054,15,Ladd McConkey,LAC
149,00-0033077,QB,152.38610741589002,10,Dak Prescott,DAL
150,00-0037664,WR,150.73919601273488,17,Alec Pierce,IND
151,00-0033881,TE,150.56216784811235,14,Evan Engram,DEN
152,00-0038563,WR,149.20569019741365,17,Tre Tucker,LV
153,00-0033319,QB,147.9464223164014,18,Nick Mullens,JAC
154,00-0035704,QB,147.74927040292434,17,Drew Lock,SEA
155,00-0037228,RB,147.67793704458688,18,Jaylen Warren,PIT
156,00-0038621,WR,146.7556258737718,17,Demario Douglas,NE
157,00-0034955,QB,146.4909345402638,17,Brett Rypien,MIN
158,00-0030564,WR,146.3235617533469,19,DeAndre Hopkins,BAL
159,00-0037077,QB,146.0438063851481,17,Sam Howell,DAL
160,00-0037838,TE,145.40748738836953,19,Isaiah Likely,NYG
161,00-0032268,QB,144.7456252228352,13,Marcus Mariota,WAS
162,00-0033949,QB,143.98540053583204,14,Joshua Dobbs,
163,00-0034351,TE,143.73049222146878,14,Dallas Goedert,PHI
164,00-0038124,WR,143.23287745768246,18,Christian Watson,GB
165,00-0039424,WR,143.1462389070081,18,Devaughn Vele,NO
166,00-0036980,WR,142.78480984919221,17,Elijah Moore,PHI
167,00-0039342,WR,142.50311646349886,17,Xavier Legette,CAR
168,00-0033662,QB,142.31272972902067,17,Cooper Rush,
169,00-0038996,TE,141.92974161394486,18,Tucker Kraft,GB
170,00-0039855,WR,140.0651244905325,18,Jalen McMillan,TB
171,00-0038579,QB,139.66087522472355,13,Aidan O'Connell,LV
172,00-0036988,WR,138.91659003412875,17,Joshua Palmer,BUF
173,00-0033555,WR,138.4505165510301,20,Mack Hollins,NE
174,00-0038619,WR,138.27718163172437,17,Andrei Iosivas,CIN
175,00-0034753,TE,137.4661019428098,19,Mark Andrews,BAL
176,00-0036898,QB,137.43627987414092,19,Davis Mills,HOU
177,00-0036894,TE,137.09070036497172,18,Pat Freiermuth,PIT
178,00-0031345,QB,136.76981279500623,16,Jimmy Garoppolo,LAR
179,00-0035208,WR,136.74410094979453,20,Olamide Zaccheaus,ATL
180,00-0034829,TE,136.60180177620379,17,Mike Gesicki,CIN
181,00-0037666,WR,136.05018357824792,17,Jalen Tolbert,MIA
182,00-0035289,QB,135.3603271215008,12,Gardner Minshew,ARI
183,00-0031687,RB,135.35286491951325,17,Raheem Mostert,LV
184,00-0036554,WR,134.9853832666318,10,Nico Collins,HOU
185,00-0038555,RB,134.92110608874464,17,Tank Bigsby,PHI
186,00-0038583,QB,134.55016743381594,17,Dorian Thompson-Robinson,
187,00-0033699,RB,134.09866684464782,13,Austin Ekeler,WAS
188,00-0039032,RB,132.3532489864376,17,Tyjae Spears,TEN
189,00-0033282,WR,130.65037532714405,20,Curtis Samuel,
190,00-0036244,TE,130.49491086732183,19,Colby Parkinson,LAR
191,00-0033869,QB,130.43753537822727,20,Mitchell Trubisky,TEN
192,00-0036970,TE,129.84116780596585,17,Kyle Pitts,ATL
193,00-0036290,TE,128.82095038187737,17,Cole Kmet,CHI
194,00-0039751,WR,127.74931921741342,18,Jordan Whittington,LAR
195,00-0033857,WR,127.34139445942867,20,JuJu Smith-Schuster,KC
196,00-0037525,RB,125.87992380818926,13,Jordan Mason,MIN
197,00-0031800,QB,125.73134857047305,15,Taylor Heinicke,
198,00-0037741,WR,125.35761569404883,21,Jahan Dotson,ATL
199,00-0038794,RB,123.81191955762566,18,Jaleel McLaughlin,DEN
200,00-0037240,WR,123.62609305084231,10,Jameson Williams,DET
201,00-0035500,WR,123.48259868269832,17,Greg Dortch,DET
202,00-0038393,WR,123.44054834507226,18,Dontayvion Wicks,PHI
203,00-0036919,RB,122.81515936263882,21,Kenneth Gainwell,TB
204,00-0035537,RB,122.41584010342629,20,Ty Johnson,BUF
205,00-0034159,TE,122.01270209556604,18,Will Dissly,
206,00-0035644,TE,121.9764996914731,17,Noah Fant,NO
207,00-0034270,TE,121.35014135295694,17,Tyler Conklin,DET
208,00-0036849,WR,120.82585545792165,19,Tutu Atwell,MIA
209,00-0037263,RB,119.47309523759155,17,Tyler Allgeier,ARI
210,00-0037327,QB,119.34887531898087,14,Skylar Thompson,BAL
211,00-0036040,TE,118.69830865199646,17,Juwan Johnson,NO
212,00-0037837,WR,118.33648350899507,18,Calvin Austin III,NYG
213,00-0036637,TE,118.24113896246207,20,Noah Gray,KC
214,00-0039875,RB,117.87521469833443,20,Ray Davis,BUF
215,00-0037197,RB,117.75106907428035,11,Isiah Pacheco,DET
216,00-0037091,WR,117.36850174305138,18,,
217,00-0036427,WR,116.38797921019388,18,Tyler Johnson,DAL
218,00-0031588,WR,115.47445880789881,9,Stefon Diggs,
219,00-0036328,RB,113.59318195146774,17,Antonio Gibson,
220,00-0036414,RB,113.54577996300355,18,Cam Akers,
221,00-0036182,WR,113.13390145529392,17,Nick Westbrook-Ikhine,IND
222,00-0037291,WR,113.0972403672403,18,Jalen Nailor,LV
223,00-0033009,WR,112.74685457257561,17,Tyler Boyd,
224,00-0033536,WR,112.39065218314971,19,Mike Williams,
225,00-0036251,RB,111.999906370314,10,Zack Moss,
226,00-0038400,QB,111.19439009943605,17,Tanner McKee,PHI
227,00-0033537,QB,111.15782971478437,8,Deshaun Watson,CLE
228,00-0037276,RB,111.09127151759041,18,Ty Chandler,NO
229,00-0033921,WR,110.81657294588122,8,Chris Godwin,TB
230,00-0036415,WR,109.97209310948757,18,Van Jefferson,WAS
231,00-0038998,QB,109.84465431531059,17,Jake Haener,
232,00-0032104,RB,109.13968475520903,17,Ameer Abdullah,IND
233,00-0034386,WR,108.76283873212937,20,Justin Watson,HOU
234,00-0033526,RB,108.62278126301608,20,Samaje Perine,CIN
235,00-0039398,QB,108.05024530986215,17,Joe Milton,DAL
236,00-0039355,WR,107.15038463736099,20,Luke McCaffrey,WAS
237,00-0035229,TE,106.23233991952004,10,T.J. Hockenson,MIN
238,00-0039794,RB,105.78846939521591,17,Braelon Allen,NYJ
239,00-0038976,WR,105.52619082562492,18,Marvin Mims,DEN
240,00-0036626,WR,103.90237053941276,19,Dyami Brown,WAS
241,00-0038935,TE,103.22259427112023,17,Brenton Strange,JAC
242,00-0038608,WR,103.13222113274149,16,Kayshon Boutte,NE
243,00-0037086,TE,102.72878373822371,21,Grant Calcaterra,PHI
244,00-0037801,WR,101.6520483790476,17,KaVontae Turpin,DAL
245,00-0039021,RB,100.87671091374868,17,Roschon Johnson,CHI
246,00-0034521,WR,100.80328971086763,10,Allen Lazard,
247,00-0035216,WR,100.16972019527853,9,Diontae Johnson,
248,00-0034972,RB,99.5277602561163,12,Alexander Mattison,MIA
249,00-0038582,QB,99.44087109496728,17,Clayton Tune,
250,00-0038547,TE,99.21312294621903,17,Luke Schoonmaker,DAL
251,00-0035406,WR,98.87311401618172,18,Lil'Jordan Humphrey,DEN
252,00-0037809,TE,98.82204858344798,17,Chigoziem Okonkwo,WAS
253,00-0039917,QB,98.61601352204048,17,Michael Penix Jr.,ATL
254,00-0038797,RB,97.79255268947227,18,Emanuel Wilson,SEA
255,00-0034418,WR,97.7047705089096,17,Cedrick Wilson,MIA
256,00-0039623,WR,97.496732264989,17,Mason Tipton,NO
257,00-0037239,WR,97.31891261791054,10,Chris Olave,NO
258,00-0038040,RB,96.77739939935518,12,Zamir White,
259,00-0036345,WR,96.5284807914881,18,K.J. Osborn,TEN
260,00-0038951,RB,95.94440098726443,18,Sean Tucker,TB
261,00-0038618,WR,95.45009171544412,19,Xavier Hutchinson,HOU
262,00-0033591,WR,95.37375331116182,13,Noah Brown,WAS
263,00-0033589,WR,95.1081482177403,17,David Moore,CAR
264,00-0036261,WR,95.06731962089397,8,Brandon Aiyuk,SF
265,00-0039868,WR,94.45623094966346,18,Troy Franklin,DEN
266,00-0030431,WR,93.66293564714746,19,Robert Woods,
267,00-0039890,WR,93.52218550254098,17,Adonai Mitchell,NYJ
268,00-0039363,RB,92.98736912226622,17,Isaac Guerendo,SF
269,00-0039880,WR,92.51356020461192,17,Malik Washington,MIA
270,00-0032434,QB,91.87871787065512,17,Brandon Allen,NYG
271,00-0031549,WR,91.81036331215637,19,Nelson Agholor,
272,00-0039062,WR,91.74577358967501,16,Jonathan Mingo,DAL
273,00-0039052,WR,91.67267623317794,18,Trey Palmer,NO
274,00-0038979,WR,91.39636914780077,13,Cedric Tillman,CLE
275,00-0034981,TE,91.27292790530747,17,Foster Moreau,HOU
276,00-0038606,WR,91.05034862004237,17,Parker Washington,JAC
277,00-0034577,QB,90.71367579875582,18,Kyle Allen,BUF
278,00-0039325,RB,90.54803063795526,20,Carson Steele,PHI
279,00-0035689,TE,90.36718188980485,20,Dawson Knox,BUF
280,00-0039907,WR,90.30141433520876,17,Ja'Lynn Polk,NO
