rank,gsis_id,position,season_total_mean,n_weeks,full_name,team
488,00-0037387,WR,20.430159300937643,6,Jalen Virgil,
489,00-0039399,TE,19.587946379497804,17,Tanner McLachlan,LAC
490,00-0035594,RB,19.527466812630905,12,Travis Homer,PIT
491,00-0036510,TE,19.167430861753793,8,Kenny Yeboah,
492,00-0039573,RB,19.074410321743127,8,Blake Watson,
493,00-0039686,RB,18.432768283902252,10,Colson Yankoff,WAS
494,00-0039407,RB,18.245973687579696,15,Dylan Laube,LV
495,00-0037311,TE,18.007080809480108,18,Ko Kieft,TB
496,00-0034860,WR,17.82769055411429,4,Dante Pettis,NO
497,00-0035934,WR,17.703262431200038,5,Trishton Jackson,
498,00-0034401,QB,17.554106151331318,5,Mike White,
499,00-0037509,RB,17.533809707269864,3,Sincere McCormick,SF
500,00-0031484,TE,17.37474111936343,17,Chris Manhertz,NYG
501,00-0024243,TE,16.86648677658335,17,Marcedes Lewis,DEN
502,00-0036360,RB,16.03560660271797,5,Clyde Edwards-Helaire,KC
503,00-0039650,WR,15.877825518199206,5,Bryce Oliver,TEN
504,00-0039796,RB,14.913013042191793,6,Rasheen Ali,BAL
505,00-0038507,WR,14.373463757710288,3,Grant Dubose,
506,00-0039603,RB,14.11074446596331,6,British Brooks,HOU
507,00-0036463,WR,13.769006627623785,4,Chris Blair,ATL
508,00-0039824,TE,13.738440392955749,8,Jared Wiley,KC
509,00-0037450,RB,13.034664619528467,9,Tyreik McAllister,
510,00-0035544,WR,13.027774238457443,3,Tom Kennedy,DET
511,00-0032543,WR,12.351976549171276,2,Alex Erickson,
512,00-0032134,TE,12.279200738728985,6,C.J. Uzomah,
513,00-0037654,TE,11.84644772955068,5,Tucker Fisk,LAC
514,00-0037112,TE,11.803300418482607,17,Jake Tonges,SF
515,00-0037422,WR,11.668550049980539,2,Kendric Pryor,CIN
516,00-0036825,TE,11.635510760027714,12,Feleipe Franks,CAR
517,00-0036556,TE,11.603813667728568,3,Brevin Jordan,HOU
